ESTACIàN;CàDIGO;X=N;Y=E;MUNICIPIO;CUENCA;A¥O;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;SUMAMESES;PROMEDIOMESES;PROMEDIOMESESNOCERO
Pajas Blancas;2119022;973320;944710;Nilo;R. Paguey;1995;0;0;0;0;0;0;0;0;31,5;190;153,6;76,2;451,3;37,61;112,83
Pajas Blancas;2119022;973320;944710;Nilo;R. Paguey;1996;295,9;127,2;247,5;149,2;0;0;0;0;0;0;0;115,2;935;77,92;187
Pajas Blancas;2119022;973320;944710;Nilo;R. Paguey;1997;294,2;76,9;160,2;296,3;144,1;134,3;20,1;3,6;75,3;174;182;110,1;1671,1;139,26;139,26
Pajas Blancas;2119022;973320;944710;Nilo;R. Paguey;1998;144,3;118;209,1;438,3;292,6;30,6;35,2;30,7;103,2;385,9;105,4;235,7;2129;177,42;177,42
Pajas Blancas;2119022;973320;944710;Nilo;R. Paguey;1999;78,3;256,6;83;339,3;108,2;236,2;17,6;23,7;322,9;337,9;234,4;199,5;2237,6;186,47;186,47
Pajas Blancas;2119022;973320;944710;Nilo;R. Paguey;2000;112,6;304,8;201,8;322,7;338,9;199,5;37,5;74,8;218,3;244,3;190,9;115,5;2361,6;196,8;196,8
Pajas Blancas;2119022;973320;944710;Nilo;R. Paguey;2001;6,8;132,7;226,7;31,4;198,1;15,3;21,6;38,3;106;35,8;61,7;45,3;919,7;76,64;76,64
Pajas Blancas;2119022;973320;944710;Nilo;R. Paguey;2002;22;56,5;261,3;51,2;264,9;312,5;51,2;6,8;161,9;262,6;280,2;257,5;1988,6;165,72;165,72
Pajas Blancas;2119022;973320;944710;Nilo;R. Paguey;2003;22,2;176;345,9;655,3;69,6;0;37,6;33,1;222,1;675;427,3;180,2;2844,3;237,03;258,57
Pajas Blancas;2119022;973320;944710;Nilo;R. Paguey;2004;90,3;276,5;70,5;454,7;321,1;53,9;59;16,5;461,1;507,4;402,4;532,3;3245,7;270,48;270,48
Pajas Blancas;2119022;973320;944710;Nilo;R. Paguey;2005;162,8;258,6;206,2;183,1;657,2;108,9;109,7;53,3;54,5;670,7;722,7;303,7;3491,4;290,95;290,95
Pajas Blancas;2119022;973320;944710;Nilo;R. Paguey;2006;312,5;236;670,7;753,4;474;186,4;50,5;66,9;48,4;288;508,2;288,7;3883,7;323,64;323,64
Pajas Blancas;2119022;973320;944710;Nilo;R. Paguey;2007;202,4;65,1;261,3;579,6;697,4;94,8;60,5;125,9;10,7;675,2;538,7;439,9;3751,5;312,63;312,63
Pajas Blancas;2119022;973320;944710;Nilo;R. Paguey;2008;399,3;318,8;336,3;234;439,3;196,6;64,8;294,4;184,9;367,3;41;1,8;2878,5;239,88;239,88
Pajas Blancas;2119022;973320;944710;Nilo;R. Paguey;2009;158,1;0;323,8;239,5;227;203,5;26,5;27,6;89,8;106,4;186,8;140,9;1729,9;144,16;157,26
Pajas Blancas;2119022;973320;944710;Nilo;R. Paguey;2010;116,7;124,6;26;343,2;371,9;104,6;201,8;26,7;92,4;94,9;397,6;243;2143,4;178,62;178,62
Pajas Blancas;2119022;973320;944710;Nilo;R. Paguey;2011;9,2;275,3;365,1;533,7;229,6;126,3;60,5;30,5;89,8;271,8;367,8;290,5;2650,1;220,84;220,84
Pajas Blancas;2119022;973320;944710;Nilo;R. Paguey;2012;247,1;64,2;143,4;309,2;141,9;50,8;53,4;114,3;45,7;257,3;97;45,8;1570,1;130,84;130,84
Pajas Blancas;2119022;973320;944710;Nilo;R. Paguey;2013;29,4;256,4;142,2;245,9;224,8;24,9;20,8;117,6;103,1;140,8;335,9;220,4;1862,2;155,18;155,18
Zipaquir ;2120074;1047850;1007620;Zipaquir ;R. Negro;2018;43,7;48,3;112,8;147,6;144,2;52,6;74,4;32,7;59,4;108,4;78,2;0,5;902,8;75,23;75,23
San Miguel de Sema;2401531;1102290;1040620;San Miguel de Sema;Lag. F£quene;1965;54,5;85;57,5;253,5;162,5;12,5;13,5;34;34,5;131;228,5;75,5;1142,5;95,21;95,21
San Miguel de Sema;2401531;1102290;1040620;San Miguel de Sema;Lag. F£quene;1989;31,5;42,5;34,8;57,2;38,1;47,3;50,3;25,2;56;50;30,6;55,6;519,1;43,26;43,26
Sta Sof¡a;2401046;1123500;1052520;Santa Sof¡a;R. Sutamarch n;2018;57;88;123;143,6;172,1;0;0;0;0;0;0;0;583,7;48,64;116,74
Represa del Neusa;2120541;1060090;1011400;Cogua;Emb. Neusa;2011;68,2;125,7;194,7;276,1;187,9;114,4;87,1;41;75,3;161,1;253,3;72,6;1657,4;138,12;138,12
Alto Saboya;2401520;1123700;1029290;Saboy ;R. Su rez;1999;48,3;97,7;64;65;135;115;45;77;32;122;65;0;866;72,17;78,73
Tomin‚ Guatavita 2;3506029;1031460;1031172;Guatavita;Emb- Tomin‚;1999;0;0;0;0;0;0;0;0;8,3;0;0;0;8,3;0,69;8,3
Paraiso Perdido;2120634;987300;976800;Sibat‚;Emb. Mu¤a;2014;21,1;74,2;37,9;64;88,8;39,3;21,7;31,8;41,7;137,3;59,2;33,6;650,6;54,22;54,22
Esclusa Tol¢n;2401518;1113740;1031620;Chiquinquir ;R. Su rez;1987;41,8;24,3;59,7;40,2;73,4;20,9;106,1;24,6;70,5;209,7;59,3;26,7;757,2;63,1;63,1
El Mu¤a;2120561;993600;981280;Sibat‚;Emb. Mu¤a;1988;0;13,9;1,2;37,6;42;98,4;34;75;76;139;81;64;662,1;55,18;60,19
Esclusa Tol¢n;2401518;1113740;1031620;Chiquinquir ;R. Su rez;1990;43,5;29,2;96,8;14,4;6,3;17,6;88,4;43,6;58;212,5;110;39,2;759,5;63,29;63,29
Ventalarga;2120026;1053180;1002950;Zipaquir ;R. Fr¡o;1970;50;76;27;110;118;84;50;52;115;133;126;46;987;82,25;82,25
El Puente;2401038;1084730;1045230;Guachet ;R. Lenguazaque;2016;16,9;6,5;51,4;91,5;31,4;29,5;34;20,8;23,2;113,2;111,2;50,6;580,2;48,35;48,35
Do¤a Juana;2120630;992300;993700;Santafe de Bogot ;R. Tunjuelo;1989;0;0;24,6;30,3;91,6;66,8;37;43,4;41,4;49,6;89,8;38,4;512,9;42,74;51,29
El Zarzal;2401051;1095650;1046980;Guachet ;Lag. F£quene;1982;103,3;3,4;0;89,6;0;6,1;18,7;14,9;37,1;194,2;73,2;80,6;621,1;51,76;62,11
San Jorge;2120172;990160;987380;Soacha;R. Soacha;1971;82,9;57;63,2;126,5;180,2;91,6;63,3;45;69,1;52,2;72,1;40,4;943,5;78,63;78,63
El Zarzal;2401051;1095650;1046980;Guachet ;Lag. F£quene;2016;45,3;19,7;90;76,2;51,4;10,5;17,8;21,5;63;120,3;174,1;1,2;691;57,58;57,58
Zipaquir ;2120074;1047850;1007620;Zipaquir ;R. Negro;2019;27,6;35,6;74,3;0;0;0;0;0;0;0;0;0;137,5;11,46;45,83
Hda La Mesa;2119047;973470;962820;Pasca;R. Cuja;1998;0;0;0;0;0;0;98,9;52,9;67;158,5;119,6;92,6;589,5;49,13;98,25
Hda La Mesa;2119047;973470;962820;Pasca;R. Cuja;1999;78,9;82,2;31,3;94,7;83,9;112,6;46;98,4;115;179,4;118,5;41,8;1082,7;90,23;90,23
Hda La Mesa;2119047;973470;962820;Pasca;R. Cuja;2000;79,9;117,7;127,6;54,6;115,7;61,4;48,6;52,4;75,7;58,2;106,4;60,9;959,1;79,93;79,93
Hda La Mesa;2119047;973470;962820;Pasca;R. Cuja;2001;17,3;100,4;73,2;23;75,2;63,7;29,5;21;48,4;101,8;73,3;93,5;720,3;60,03;60,03
Hda La Mesa;2119047;973470;962820;Pasca;R. Cuja;2002;16,9;44,2;76,5;199,7;112,4;107,3;50,7;36;72,9;94,8;41,5;42,5;895,4;74,62;74,62
Hda La Mesa;2119047;973470;962820;Pasca;R. Cuja;2003;5,6;54,5;98,2;175,4;27,9;0;130,7;35,6;49,8;205,3;160,1;49,4;992,5;82,71;90,23
Hda La Mesa;2119047;973470;962820;Pasca;R. Cuja;2004;61,5;35,6;37,8;145,3;121,4;67,4;83,3;37,8;61,5;176,8;126,7;22,9;978;81,5;81,5
Hda La Mesa;2119047;973470;962820;Pasca;R. Cuja;2005;56,9;54;56,9;73,5;175,9;55,2;2,5;30,2;55,1;123,7;86,8;70,6;841,3;70,11;70,11
Hda La Mesa;2119047;973470;962820;Pasca;R. Cuja;2006;82;33,1;149,3;131,1;144,2;94;42,6;30,3;45,6;171,9;143,4;37,6;1105,1;92,09;92,09
Hda La Mesa;2119047;973470;962820;Pasca;R. Cuja;2007;18,2;16,3;60,3;109,5;93;99,3;56,6;99,8;35,5;148,3;62,7;99,2;898,7;74,89;74,89
Hda La Mesa;2119047;973470;962820;Pasca;R. Cuja;2008;62,4;44;122,7;106,6;184,8;77,7;91,7;108,4;52,8;100,4;158,8;107,5;1217,8;101,48;101,48
Hda La Mesa;2119047;973470;962820;Pasca;R. Cuja;2009;38;80,8;98,2;78,3;52,4;95,2;55,2;69,9;22,3;97,4;93,9;31,4;813;67,75;67,75
Hda La Mesa;2119047;973470;962820;Pasca;R. Cuja;2010;20;10,4;15,8;184,9;126;95,8;158,2;66,2;126;130;177,3;138,1;1248,7;104,06;104,06
Hda La Mesa;2119047;973470;962820;Pasca;R. Cuja;2011;28,7;175,9;201,5;250,3;147,3;34,5;45,4;65,9;58,2;194,8;157,6;70,1;1430,2;119,18;119,18
Hda La Mesa;2119047;973470;962820;Pasca;R. Cuja;2012;42,7;29;90,4;187,9;67,6;56,6;62,6;81,7;32,7;164,9;143,7;88,7;1048,5;87,38;87,38
Hda La Mesa;2119047;973470;962820;Pasca;R. Cuja;2013;38,8;98,5;29,2;90,9;119;36,7;52,2;33,9;40,3;48,2;154,2;92,5;834,4;69,53;69,53
Novilleros;2401519;1080650;1032380;Ubat‚;R. Ubat‚;2006;55,9;36,5;99,3;214,6;92,6;67,9;0;13,4;25,3;117,1;108,5;56,1;887,2;73,93;80,65
San Jos‚;2120080;1026900;1020940;Guasca;Emb. Tomin‚;1999;52,2;66,1;93,1;118,3;79,3;77,3;57,8;65,7;131,4;174,6;82,9;42,7;1041,4;86,78;86,78
El Triangulo;2401039;1078310;1051230;Lenguazaque;R. Lenguazaque;2015;17,8;44,3;78;31,9;37;97,3;65,7;112,4;31;23,8;70,6;5,1;614,9;51,24;51,24
Represa del Neusa;2120541;1060090;1011400;Cogua;Emb. Neusa;1967;19,4;27,5;49;100,1;105;112,5;52,2;67,1;48,9;54,9;117,3;52,8;806,7;67,23;67,23
Ventalarga;2120026;1053180;1002950;Zipaquir ;R. Fr¡o;1964;23;42,5;50,5;79;130;161;118,5;39;58;89;89;81,5;961;80,08;80,08
La Uni¢n;2120055;1030640;980540;Subachoque;R. Subachoque;1977;26,5;30;100,5;88;73;110;77;140,5;82;188,5;88;55;1059;88,25;88,25
Sutamarch n;2401029;1113200;1050440;Sutamarch n;R. Sutamarch n;1961;34,5;10;105,2;101,5;7,5;16,2;2,5;0;26,5;123;262,6;10;699,5;58,29;63,59
Negrete;2306308;991879;1055051;Pacho;Rionegro;2013;91,4;232,5;191,3;178,1;199,5;25,7;18,1;87,3;75,2;162,8;253,7;230,5;1746,1;145,51;145,51
El Placer;2123502;1007762;928174;Puli;R. Magddalena;2002;10,2;45,1;108,3;189,5;19,8;62,1;39,8;10,1;71,5;136,4;92,7;78,2;863,7;71,98;71,98
El Pedregal;2401049;1070160;1022050;Sutatausa;R. Suta;2016;7,6;9,5;118,3;116,8;43,4;17,1;9,1;27,4;60,9;8,9;69;35,7;523,7;43,64;43,64
Los Pinos;2312019;1070730;1005190;Tausa;R. Negro;2015;1,2;49,1;182,3;69,7;28,4;23;5,2;4,4;1,5;35;88;2;489,8;40,82;40,82
